AdvNum,Parcel,Face Amount,Certificate Number,WinningBid,Bidder ID,Primary Name On Account
005593,301630770,5481.46,0,016.00,00000000,STRUCK TO COUNTY
005594,301630790,5481.46,0,016.00,00000000,STRUCK TO COUNTY
005595,301630840,3708.14,0,016.00,00000000,STRUCK TO COUNTY
005596,301630850,5481.46,0,016.00,00000000,STRUCK TO COUNTY
005597,301630880,6139.1,0,016.00,00000000,STRUCK TO COUNTY
005598,301630890,5577.74,0,016.00,00000000,STRUCK TO COUNTY
005599,301630900,3708.14,0,016.00,00000000,STRUCK TO COUNTY
005600,301630960,561.22,0,016.00,05001957,GABRIEL SATOBO
005601,301630980,1634.54,0,016.00,00000000,STRUCK TO COUNTY
005602,301631000,1086.46,0,016.00,00002985,JEREMY BRAUN
005603,301631010,3708.14,0,016.00,00000000,STRUCK TO COUNTY
005604,301631040,5481.46,0,016.00,00000000,STRUCK TO COUNTY
005605,301631050,5481.46,0,016.00,00000000,STRUCK TO COUNTY
005606,301631060,1689.1,0,016.00,00000000,STRUCK TO COUNTY
005607,301631070,3708.14,0,016.00,00000000,STRUCK TO COUNTY
005608,301631140,719.64,0,016.00,05001957,GABRIEL SATOBO
005609,301631160,870.81,0,016.00,00000000,STRUCK TO COUNTY
005610,301631170,70.89,0,016.00,00000000,STRUCK TO COUNTY
005611,301631180,70.89,0,016.00,00000000,STRUCK TO COUNTY
005612,301631210,5481.46,0,016.00,00000000,STRUCK TO COUNTY
005613,301631240,2086.1,0,016.00,00000000,STRUCK TO COUNTY
005614,301631250,2192.87,0,016.00,00000000,STRUCK TO COUNTY
005615,301631280,1943.38,0,016.00,00000000,STRUCK TO COUNTY
005616,301631290,1943.38,0,016.00,00000000,STRUCK TO COUNTY
005617,301631360,622.51,0,016.00,00000000,STRUCK TO COUNTY
005618,301631370,561.22,0,016.00,00000000,STRUCK TO COUNTY
005619,301631380,464.09,0,016.00,00000000,STRUCK TO COUNTY
005620,301631410,373.96,0,016.00,00000000,STRUCK TO COUNTY
005621,301631420,373.96,0,016.00,00000000,STRUCK TO COUNTY
005622,301631440,3704.26,0,016.00,00000000,STRUCK TO COUNTY
005623,301631470,1943.38,0,016.00,00000000,STRUCK TO COUNTY
005625,301631630,5481.46,0,016.00,00000000,STRUCK TO COUNTY
005626,301631640,5481.46,0,016.00,00000000,STRUCK TO COUNTY
005627,301631660,5481.46,0,016.00,00000000,STRUCK TO COUNTY
005628,301631670,5481.46,0,016.00,00000000,STRUCK TO COUNTY
005629,301631690,1634.54,0,016.00,00000000,STRUCK TO COUNTY
005630,301631700,1634.54,0,016.00,00000000,STRUCK TO COUNTY
005631,301631710,1063.79,0,016.00,00000000,STRUCK TO COUNTY
005632,301631780,59.77,0,000.00,05001343,JESSICA J SUAREZ
005633,301631810,2572.7,0,016.00,00000000,STRUCK TO COUNTY
005634,301631820,2572.7,0,016.00,00000000,STRUCK TO COUNTY
005635,301631830,2276.99,0,016.00,00000000,STRUCK TO COUNTY
005636,301631910,5481.46,0,016.00,00000000,STRUCK TO COUNTY
005637,301631930,1315.76,0,016.00,00000000,STRUCK TO COUNTY
005638,301631950,3708.14,0,016.00,00000000,STRUCK TO COUNTY
005639,301631990,903.78,0,016.00,00000000,STRUCK TO COUNTY
005640,301632010,2673.99,0,016.00,00000000,STRUCK TO COUNTY
005641,301632020,1943.38,0,016.00,00000000,STRUCK TO COUNTY
005642,301632060,1315.76,0,016.00,00000000,STRUCK TO COUNTY
005643,301632150,903.78,0,016.00,00000000,STRUCK TO COUNTY
005644,301632180,70.89,0,016.00,00000000,STRUCK TO COUNTY
005645,301632190,70.89,0,016.00,00000000,STRUCK TO COUNTY
