ADVNUM,CERTIFICATE NUMBER,PARCEL,WINNINGBID,BIDDER ID,FACE AMOUNT,PRIMARY NAME ON ACCOUNT
"0000002","0000001","012622-000010-000421","00.25","3820777","$851.28","US BANK AS CUST FOR MAGNOLIA TC 15,  LLC"
"0000003","0000002","012622-000010-000492","00.25","0003543","$813.11","TLGFY LLC"
"0000005","0","022622-000000-011040","18.00","0000019","$419.18","STRUCK TO County"
"0000006","0","022622-000000-013020","18.00","0000019","$25.24","STRUCK TO County"
"0000007","0","022622-000000-013090","18.00","0000019","$25.20","STRUCK TO County"
"0000009","0","022622-000000-013210","18.00","0000019","$42.04","STRUCK TO County"
"0000010","0","022622-000000-031080","18.00","0000019","$24.94","STRUCK TO County"
"0000012","0","022622-000000-031110","18.00","0000019","$24.94","STRUCK TO County"
"0000013","0","022622-000000-031180","18.00","0000019","$24.99","STRUCK TO County"
"0000014","0","022622-000000-031190","18.00","0000019","$24.99","STRUCK TO County"
"0000015","0","022622-000000-031200","18.00","0000019","$24.96","STRUCK TO County"
"0000017","0","022622-000000-031270","18.00","0000019","$24.94","STRUCK TO County"
"0000019","0","022622-000000-032050","18.00","0000019","$25.00","STRUCK TO County"
"0000020","0","022622-000000-032060","18.00","0000019","$25.00","STRUCK TO County"
"0000021","0","022622-000000-032070","18.00","0000019","$25.00","STRUCK TO County"
"0000022","0","022622-000000-032090","18.00","0000019","$25.00","STRUCK TO County"
"0000023","0000017","022622-000000-033030","00.25","7004174","$666.05","ELEVENTH TALENT LLC"
"0000024","0000018","022622-000000-033170","18.00","9200538","$98.77","ANTHONY KENON"
"0000026","0","022622-000000-033220","18.00","0000019","$24.74","STRUCK TO County"
"0000027","0","022622-000000-033290","18.00","0000019","$25.04","STRUCK TO County"
"0000028","0","022622-000000-034010","18.00","0000019","$24.91","STRUCK TO County"
"0000029","0","022622-000000-034020","18.00","0000019","$24.96","STRUCK TO County"
"0000030","0","022622-000000-034060","18.00","0000019","$85.30","STRUCK TO County"
"0000031","0","022622-000000-034170","18.00","0000019","$24.96","STRUCK TO County"
"0000035","0","022622-000000-041060","18.00","0000019","$25.31","STRUCK TO County"
"0000036","0","022622-000000-042070","18.00","0000019","$25.39","STRUCK TO County"
"0000037","0","022622-000000-042080","18.00","0000019","$25.44","STRUCK TO County"
"0000039","0","022622-000000-042150","18.00","0000019","$25.39","STRUCK TO County"
"0000040","0","022622-000000-042200","18.00","0000019","$25.36","STRUCK TO County"
"0000041","0","022622-000000-043030","18.00","0000019","$25.32","STRUCK TO County"
"0000042","0","022622-000000-043040","18.00","0000019","$25.36","STRUCK TO County"
"0000044","0","022622-000000-043090","18.00","0000019","$25.36","STRUCK TO County"
"0000045","0","022622-000000-043190","18.00","0000019","$25.32","STRUCK TO County"
"0000046","0","022622-000000-043230","18.00","0000019","$25.39","STRUCK TO County"
"0000047","0000035","022622-000000-044060","18.00","9200538","$87.50","ANTHONY KENON"
"0000048","0000036","022622-000000-044070","18.00","9200538","$87.20","ANTHONY KENON"
"0000049","0","022622-000000-044130","18.00","0000019","$25.44","STRUCK TO County"
"0000053","0000038","032622-000000-011120","00.25","0003543","$936.26","TLGFY LLC"
"0000054","0000039","032622-000000-013050","18.00","9200082","$172.33","MING LAC"
"0000055","0000040","032622-000000-024010","02.25","0011759","$377.44","FLORIDA CORAL LIEN INVESTMENTS, LLC"
"0000056","0000041","032622-000000-031040","00.25","3820777","$871.26","US BANK AS CUST FOR MAGNOLIA TC 15,  LLC"
"0000057","0","102622-000000-021010","18.00","0000019","$25.32","STRUCK TO County"
"0000058","0","102622-000000-021100","18.00","0000019","$25.26","STRUCK TO County"
"0000060","0","102622-000000-021120","18.00","0000019","$153.68","STRUCK TO County"
"0000061","0","102622-000000-021180","18.00","0000019","$25.24","STRUCK TO County"
"0000062","0","102622-000000-021250","18.00","0000019","$25.31","STRUCK TO County"
"0000063","0","102622-000000-022060","18.00","0000019","$25.31","STRUCK TO County"
"0000064","0","102622-000000-022100","18.00","0000019","$25.26","STRUCK TO County"
"0000065","0","102622-000000-022120","18.00","0000019","$25.32","STRUCK TO County"
"0000066","0","102622-000000-022130","18.00","0000019","$25.32","STRUCK TO County"
"0000067","0","102622-000000-022160","18.00","0000019","$25.26","STRUCK TO County"
"0000068","0","102622-000000-022170","18.00","0000019","$25.31","STRUCK TO County"
"0000072","0","112622-000000-033060","18.00","0000019","$25.45","STRUCK TO County"
"0000073","0","112622-000000-033200","18.00","0000019","$25.44","STRUCK TO County"
"0000074","0","112622-000000-033240","18.00","0000019","$25.44","STRUCK TO County"
"0000075","0","112622-000000-033280","18.00","0000019","$25.44","STRUCK TO County"
"0000077","0","112622-000000-034020","18.00","0000019","$25.44","STRUCK TO County"
