Advertising_Number,Block,Lot,Qual,Face_Value,Winning_Bidder_number,Name, WinningBid
0352,309,4,,37635.84,9000610,SAMUEL C WEN,$2100.00
0353,309,12.01,,328.11,9000610,SAMUEL C WEN,$2500.00
0354,311,18,,155,9000237,ARTHUR FONZARELLI,$1300.00
0355,312,10,,1053.5,9000237,ARTHUR FONZARELLI,$2100.00
0356,315,13,,155,9000237,ARTHUR FONZARELLI,$1700.00
0357,316,22,,643.15,9000237,ARTHUR FONZARELLI,$1900.00
0358,319,1,,334.39,9000237,ARTHUR FONZARELLI,$2100.00
0359,320,3,,610.33,9000237,ARTHUR FONZARELLI,$2300.00
0360,322,3,,452.52,9000237,ARTHUR FONZARELLI,$2500.00
0361,322,7,,605.54,9000237,ARTHUR FONZARELLI,$2700.00
0362,323,4,,291.66,9000237,ARTHUR FONZARELLI,$2900.00
0363,327,3,,457.25,9000237,ARTHUR FONZARELLI,$3100.00
0364,329,14,,335.49,9000237,ARTHUR FONZARELLI,$3300.00
0365,332,19,,775.93,9000237,ARTHUR FONZARELLI,$3500.00
0366,332,35,,268.9,9000235,LINGUINI INC,$3200.00
0367,333,14,,270.14,9000235,LINGUINI INC,$2800.00
0368,336,19,,194.78,9000235,LINGUINI INC,$2400.00
0369,341,17,,811.21,9000235,LINGUINI INC,$2000.00
0370,341,24,,324.67,9000235,LINGUINI INC,$1600.00
0371,342,11,,155,9000235,LINGUINI INC,$1200.00
0372,343,21,,155,9000235,LINGUINI INC,$800.00
0373,347,3,,225.48,9000235,LINGUINI INC,$400.00
0374,348,3,,970.71,9000235,LINGUINI INC,$100.00
0375,350,20,,317.64,9000235,LINGUINI INC,$100.00
0376,352,1,,652.74,9000235,LINGUINI INC,$200.00
0377,352,5,,270.14,9000235,LINGUINI INC,$200.00
0378,,,,270.14,9000235,LINGUINI INC,$200.00
0379,354,9,,5691.57,9000235,LINGUINI INC,$100.00
0380,354,16,,220,9000235,LINGUINI INC,$100.00
0381,354,20,,443.87,9000235,LINGUINI INC,$100.00
0382,356,12,,270.14,9000235,LINGUINI INC,$100.00
0383,356,32,,585.92,9000235,LINGUINI INC,$100.00
0384,356,36,,403.02,9000235,LINGUINI INC,$100.00
0385,358,4.02,,155,9000235,LINGUINI INC,$300.00
0386,359,10,,642.41,9000235,LINGUINI INC,$100.00
0387,359,27,,377.84,9000235,LINGUINI INC,$100.00
