Advertising_Number,Block,Lot,Qual,Face_Value,Winning_Bidder_number,Name, WinningBid
0001,1,3,,157.18,9001609,YUJI ONO,$1100.00
0002,1,11,,3333,9001664,DDA INVESTMENT LLC,$3700.00
0003,3,3,,548.84,9001708,NICKEITA S ANDERSON,$2100.00
0004,3,10,,784.41,9001609,YUJI ONO,$2000.00
0005,5,15,,385.85,9000237,ARTHUR FONZARELLI,$2000.00
0006,6,26,,787.9,9000237,ARTHUR FONZARELLI,$2100.00
0007,7,8,,1154.86,9000237,ARTHUR FONZARELLI,$2100.00
0008,7,22,,6988.92,9002711,MARCIN J. WISNIEWSKI,$3300.00
0009,8,16,,155,9000237,ARTHUR FONZARELLI,$2100.00
0010,8,21,,397.73,9000237,ARTHUR FONZARELLI,$300.00
0011,10,1,,628.98,9000237,ARTHUR FONZARELLI,$300.00
0012,10,2,,688.55,9000237,ARTHUR FONZARELLI,$2100.00
0013,10,3,,269.04,9000237,ARTHUR FONZARELLI,$2700.00
0014,10,22,,511.48,9000237,ARTHUR FONZARELLI,$2900.00
0015,10,27,,593.36,9000237,ARTHUR FONZARELLI,$3100.00
0016,12,22,,155,9000237,ARTHUR FONZARELLI,$3300.00
0017,13,3,,2432.95,9000237,ARTHUR FONZARELLI,$3500.00
0018,13,7,,49238.02,9002711,MARCIN J. WISNIEWSKI,$3700.00
0019,14,16,,394.96,9000235,LINGUINI INC,$3200.00
0020,14,17,,678.06,9000235,LINGUINI INC,$2800.00
0021,16,8,,3770.83,9000235,LINGUINI INC,$2400.00
0022,16,9,,14518.63,9000235,LINGUINI INC,$2000.00
0023,16,10,,220,9000235,LINGUINI INC,$1600.00
0024,16,15,,155.45,9000235,LINGUINI INC,$1200.00
0025,16,16,,508.09,9000234,GEORGE WASHINGTON,3.00%
0026,16,26,,335.61,9000234,GEORGE WASHINGTON,$100.00
0027,18,5,,822.04,9000234,GEORGE WASHINGTON,$100.00
0028,20,12,,266.98,9000235,LINGUINI INC,$300.00
0029,21,1,,331.18,9000235,LINGUINI INC,$300.00
0030,21,3.01,,772.23,9000235,LINGUINI INC,$300.00
0031,22,16,,929.89,9000235,LINGUINI INC,$300.00
0032,24,2,,312.6,9000235,LINGUINI INC,$600.00
0033,24,11,,155,9000235,LINGUINI INC,$300.00
0034,25,7,,800.02,9000235,LINGUINI INC,$300.00
0035,27,8,,609.06,9000235,LINGUINI INC,$300.00
0036,27,12,,269.62,9000234,GEORGE WASHINGTON,3.00%
0037,28,1.02,,1374.62,9002711,MARCIN J. WISNIEWSKI,$300.00
0038,29,7,,95.41,9000234,GEORGE WASHINGTON,$100.00
0039,29,17,,473.12,9000234,GEORGE WASHINGTON,0.00%
0040,30,7,,704.05,9000234,GEORGE WASHINGTON,9.00%
0041,30,12,,514.16,9000234,GEORGE WASHINGTON,8.00%
0042,31,13,,608.27,9000234,GEORGE WASHINGTON,4.00%
0043,31,17,,610.01,9000234,GEORGE WASHINGTON,0.00%
0044,32,13,,503.98,9000237,ARTHUR FONZARELLI,$300.00
0045,33,15,,13324.72,9000237,ARTHUR FONZARELLI,17.00%
0046,35,4,,204.39,9000237,ARTHUR FONZARELLI,$300.00
0047,35,16,,211.25,9000237,ARTHUR FONZARELLI,$300.00
